,lncrna,gene,correlation,p_value,regulation_type,strength
28872,lncRNA_53968,FUN_037162,0.40477460704122603,0.009576012806495955,activation,0.40477460704122603
28873,lncRNA_8717,FUN_037162,0.48453496928257833,0.0015332028616037534,activation,0.48453496928257833
28874,lncRNA_21450,FUN_037162,0.5924219831798275,5.6419065945512224e-05,activation,0.5924219831798275
28875,lncRNA_29808,FUN_037162,0.523865785631455,0.0005219566099991979,activation,0.523865785631455
28876,lncRNA_30376,FUN_037162,0.3132497839456702,0.049045893635617774,activation,0.3132497839456702
28877,lncRNA_30114,FUN_037162,0.39815616022037725,0.010943769718834899,activation,0.39815616022037725
28878,lncRNA_22774,FUN_037162,0.3906489548563587,0.012693542684297556,activation,0.3906489548563587
28879,lncRNA_21909,FUN_037162,0.47973292447060667,0.0017338677015962005,activation,0.47973292447060667
28880,lncRNA_20155,FUN_037162,0.5989043832497662,4.451260961416697e-05,activation,0.5989043832497662
28881,lncRNA_7467,FUN_037162,0.42500531058189117,0.006263019921502518,activation,0.42500531058189117
28882,lncRNA_14601,FUN_037162,0.47382358778063444,0.002012350273299629,activation,0.47382358778063444
28883,lncRNA_47409,FUN_037162,0.3292258901092555,0.03804163742642591,activation,0.3292258901092555
28884,lncRNA_32233,FUN_037162,0.48405075793921976,0.0015524613039878284,activation,0.48405075793921976
28885,lncRNA_26584,FUN_037162,0.38914674276088435,0.013070813298693097,activation,0.38914674276088435
28886,lncRNA_26003,FUN_037162,0.48564187918725227,0.0014899687471521762,activation,0.48564187918725227
28887,lncRNA_54184,FUN_037162,0.37697418184103776,0.016493859443560126,activation,0.37697418184103776
28888,lncRNA_25499,FUN_031196,0.4436086082036946,0.004142254923235668,activation,0.4436086082036946
28889,lncRNA_22152,FUN_031196,-0.369659372732088,0.018893237697606285,repression,0.369659372732088
28890,lncRNA_9386,FUN_031196,0.32291241287021016,0.0421210649326565,activation,0.32291241287021016
28891,lncRNA_47625,FUN_031196,0.5335104987363054,0.0003926622933156652,activation,0.5335104987363054
28892,lncRNA_28829,FUN_031196,-0.5536219527630458,0.0002108547263005038,repression,0.5536219527630458
28893,lncRNA_12035,FUN_031196,0.41731460296543027,0.007382110578808597,activation,0.41731460296543027
28894,lncRNA_896,FUN_031196,-0.3448273473720125,0.029328175964513068,repression,0.3448273473720125
28895,lncRNA_13300,FUN_031196,0.39313880624141384,0.012088603015324464,activation,0.39313880624141384
28896,lncRNA_51358,FUN_031196,0.3168521107225364,0.046364261928429434,activation,0.3168521107225364
28897,lncRNA_16858,FUN_031196,-0.37560487073233234,0.016922363395566808,repression,0.37560487073233234
28898,lncRNA_34857,FUN_031196,-0.3247364244637302,0.04090759930736223,repression,0.3247364244637302
28899,lncRNA_46039,FUN_031196,0.35715292626334655,0.023672676703343,activation,0.35715292626334655
28900,lncRNA_1894,FUN_031196,-0.3463752162765845,0.028561918805937205,repression,0.3463752162765845
28901,lncRNA_23525,FUN_031196,-0.45321461318631007,0.003315809603339093,repression,0.45321461318631007
28902,lncRNA_44455,FUN_031196,-0.34073739581735724,0.03143488098300618,repression,0.34073739581735724
28903,lncRNA_35753,FUN_031196,0.45274565498724073,0.0033525243450174117,activation,0.45274565498724073
28904,lncRNA_1350,FUN_031196,0.45013883267337207,0.003563157816828417,activation,0.45013883267337207
