,feature1,feature2,correlation,p_value
273,FUN_023201,lncRNA_35317,0.30559158434000133,0.055162087361736875
274,FUN_023201,lncRNA_50879,-0.15307303933281535,0.3456843707602945
275,FUN_023201,lncRNA_53591,0.4401659581093366,0.0044793058771880195
276,FUN_023201,lncRNA_54190,0.29779207842766586,0.06200344540526733
277,FUN_023201,lncRNA_20253,-0.006324098957374906,0.9691063345742486
278,FUN_023201,lncRNA_17170,0.20396003841703758,0.20681513135330196
279,FUN_023201,lncRNA_2985,0.2441708492884365,0.12891599916899774
280,FUN_023201,lncRNA_42856,0.24648460454925727,0.1252172599723407
281,FUN_023201,lncRNA_18555,0.36828791513693976,0.019374221109328283
282,FUN_023201,lncRNA_2720,-0.06947869415712395,0.670105475829934
283,FUN_023201,lncRNA_13326,0.244769311129406,0.12795158844483334
284,FUN_023201,lncRNA_29834,0.3270812889461605,0.03938954890813991
285,FUN_023201,lncRNA_27058,0.2665304958311849,0.09642069731112327
286,FUN_023201,lncRNA_38569,-0.1828161048546285,0.25884966694029526
287,FUN_023201,lncRNA_4541,-0.2322524657025797,0.14926863472230636
288,FUN_023201,lncRNA_54048,-0.24191076887772467,0.1326070009156527
289,FUN_023201,lncRNA_35701,0.051678069548857626,0.7514800621781125
290,FUN_023201,lncRNA_25976,0.24933705394703712,0.12076734345541815
291,FUN_023201,lncRNA_7210,0.04153116107167333,0.7991504763669056
292,FUN_023201,lncRNA_29869,-0.2270209625461244,0.15890962083201554
293,FUN_023201,lncRNA_42503,0.1766445004461725,0.27554848684905975
294,FUN_023201,lncRNA_51567,0.22684588372491782,0.15923990725490988
295,FUN_023201,lncRNA_28581,0.3413308924738124,0.031121665205834453
296,FUN_023201,lncRNA_8779,-0.18286978612374297,0.25870743900846216
297,FUN_023201,lncRNA_28107,-0.3677723031821097,0.019557687119358312
298,FUN_023201,lncRNA_53515,0.35434915053547245,0.024872030722289093
299,FUN_023201,lncRNA_2971,-0.23596747281554487,0.142687377463851
300,FUN_043261,lncRNA_6691,0.3204791644223753,0.04378517627324769
301,FUN_043261,lncRNA_48354,-0.3654700617934562,0.020394740603395602
302,FUN_043261,lncRNA_37417,0.23849131933228734,0.13833989692559207
303,FUN_043261,lncRNA_22766,0.1343803663897439,0.4084041526730703
304,FUN_043261,lncRNA_9027,0.5732904627309495,0.00011033828668250379
305,FUN_043261,lncRNA_23617,-0.013576395909489869,0.9337357361291776
306,FUN_043261,lncRNA_3993,0.40935379679425804,0.008717698509284754
307,FUN_043261,lncRNA_25368,-0.07561850225150335,0.6428247394958193
308,FUN_043261,lncRNA_25353,0.38376772550098087,0.014500733319515506
309,FUN_043261,lncRNA_14028,-0.1473798121572072,0.36412972432565854
310,FUN_043261,lncRNA_43015,0.27412709280576675,0.08694867889446777
311,FUN_043261,lncRNA_20065,0.39546788212272554,0.011545096642841745
312,FUN_043261,lncRNA_25226,0.10122108751318441,0.534285313353854
313,FUN_043261,lncRNA_29522,0.3995645783553692,0.010639534123245238
314,FUN_043261,lncRNA_48271,-0.10954906399137464,0.5010054543209144
315,FUN_043261,lncRNA_397,0.2063235122461369,0.20148879845635503
316,FUN_043261,lncRNA_52590,-0.03860830507961415,0.8130249246271464
317,FUN_043261,lncRNA_34860,0.38000500048434466,0.01557784606323301
318,FUN_043261,lncRNA_13372,0.5762190997674941,9.984008595676648e-05
319,FUN_043261,lncRNA_1277,-0.16561604299040283,0.30710860322993633
320,FUN_043261,lncRNA_27209,-0.08957364203017015,0.582555176370952
321,FUN_043261,lncRNA_3606,0.3478074441966779,0.02786772096460991
322,FUN_043261,lncRNA_8546,-0.033495630959148905,0.8374277270305965
323,FUN_043261,lncRNA_6776,0.05807167378453402,0.7218916677342694
324,FUN_043261,lncRNA_10470,0.3651618062635364,0.020509059951693637
325,FUN_043261,lncRNA_230,0.2201531123376668,0.17224234617801656
326,FUN_043261,lncRNA_7700,0.036765634456343836,0.8218011896291729
327,FUN_043261,lncRNA_42829,0.5127984670404578,0.0007161927633139276
328,FUN_043261,lncRNA_13771,-0.0012601585575608852,0.9938426187649283
329,FUN_043261,lncRNA_17994,0.3382554375349583,0.03277297378978417
330,FUN_043261,lncRNA_36686,0.7805084480197149,2.8666188726310158e-09
331,FUN_043261,lncRNA_52137,0.33365459480173887,0.03537716041201991
332,FUN_043261,lncRNA_37299,0.3345172603545679,0.03487637098037164
333,FUN_043261,lncRNA_36732,0.38266851274998087,0.014808670547451585
334,FUN_043261,lncRNA_49152,0.23738644260220867,0.14023089823001852
335,FUN_043261,lncRNA_25901,0.5000265300253095,0.0010184021332218195
336,FUN_043261,lncRNA_6972,0.26654780325015437,0.09639825191313475
337,FUN_043261,lncRNA_13752,0.41741084095986936,0.007367108600482594
338,FUN_043261,lncRNA_7486,0.1629363725019685,0.31511052513947435
339,FUN_043261,lncRNA_3332,0.4012120520834896,0.01029284578437299
340,FUN_043261,lncRNA_38731,0.2980338356821589,0.061781721728475625
341,FUN_043261,lncRNA_43357,0.07979319737585967,0.6245334136058756
342,FUN_043261,lncRNA_30345,0.3165773882765797,0.046564504642586935
343,FUN_043261,lncRNA_19589,0.06166256756235852,0.7054440861485054
